"state","metric","year","total"
"Illinois","Parole Violation Population","2019",5708
"Illinois","Parole New Offense Violation Population","2019",2041
"Illinois","Parole Technical Violation Population","2019",3667
"Illinois","Total Admissions","2020",11635
"Illinois","Supervision Violation Admissions","2020",4585
"Illinois","Probation Violation Admissions","2020",NA
"Illinois","Probation New Offense Violation Admissions","2020",NA
"Illinois","Probation Technical Violation Admissions","2020",NA
"Illinois","Parole Violation Admissions","2020",4585
"Illinois","Parole New Offense Violation Admissions","2020",439
"Illinois","Parole Technical Violation Admissions","2020",4146
"Illinois","Total Population","2020",29224
"Illinois","Supervision Violation Population","2020",4033
"Illinois","Probation Violation Population","2020",NA
"Illinois","Probation New Offense Violation Population","2020",NA
"Illinois","Probation Technical Violation Population","2020",NA
"Illinois","Parole Violation Population","2020",4033
"Illinois","Parole New Offense Violation Population","2020",1536
"Illinois","Parole Technical Violation Population","2020",2497
"Illinois","Total Admissions","2021",15611
"Illinois","Supervision Violation Admissions","2021",4170
"Illinois","Probation Violation Admissions","2021",NA
"Illinois","Probation New Offense Violation Admissions","2021",NA
"Illinois","Probation Technical Violation Admissions","2021",NA
"Illinois","Parole Violation Admissions","2021",4170
"Illinois","Parole New Offense Violation Admissions","2021",453
"Illinois","Parole Technical Violation Admissions","2021",3717
"Illinois","Total Population","2021",27970
"Illinois","Supervision Violation Population","2021",3660
"Illinois","Probation Violation Population","2021",NA
"Illinois","Probation New Offense Violation Population","2021",NA
"Illinois","Probation Technical Violation Population","2021",NA
"Illinois","Parole Violation Population","2021",3660
"Illinois","Parole New Offense Violation Population","2021",1477
"Illinois","Parole Technical Violation Population","2021",2183
"Indiana","Total Admissions","2018",13303
"Indiana","Supervision Violation Admissions","2018",5894
"Indiana","Probation Violation Admissions","2018",1999
"Indiana","Probation New Offense Violation Admissions","2018",794
"Indiana","Probation Technical Violation Admissions","2018",1205
"Indiana","Parole Violation Admissions","2018",3895
"Indiana","Parole New Offense Violation Admissions","2018",1340
"Indiana","Parole Technical Violation Admissions","2018",2555
"Indiana","Total Population","2018",28287
"Indiana","Supervision Violation Population","2018",5752
"Indiana","Probation Violation Population","2018",2320
"Indiana","Probation New Offense Violation Population","2018",1085
"Indiana","Probation Technical Violation Population","2018",1235
"Indiana","Parole Violation Population","2018",3432
"Indiana","Parole New Offense Violation Population","2018",2012
"Indiana","Parole Technical Violation Population","2018",1420
"Indiana","Total Admissions","2019",12506
"Indiana","Supervision Violation Admissions","2019",5856
"Indiana","Probation Violation Admissions","2019",1790
"Indiana","Probation New Offense Violation Admissions","2019",573
"Indiana","Probation Technical Violation Admissions","2019",1217
"Indiana","Parole Violation Admissions","2019",4066
"Indiana","Parole New Offense Violation Admissions","2019",1365
"Indiana","Parole Technical Violation Admissions","2019",2701
"Indiana","Total Population","2019",28621
"Indiana","Supervision Violation Population","2019",5858
"Indiana","Probation Violation Population","2019",2276
"Indiana","Probation New Offense Violation Population","2019",939
"Indiana","Probation Technical Violation Population","2019",1337
"Indiana","Parole Violation Population","2019",3582
"Indiana","Parole New Offense Violation Population","2019",2119
"Indiana","Parole Technical Violation Population","2019",1463
"Indiana","Total Admissions","2020",7730
"Indiana","Supervision Violation Admissions","2020",3962
"Indiana","Probation Violation Admissions","2020",1227
"Indiana","Probation New Offense Violation Admissions","2020",208
"Indiana","Probation Technical Violation Admissions","2020",1019
"Indiana","Parole Violation Admissions","2020",2735
"Indiana","Parole New Offense Violation Admissions","2020",872
"Indiana","Parole Technical Violation Admissions","2020",1863
"Indiana","Total Population","2020",25939
"Indiana","Supervision Violation Population","2020",5179
"Indiana","Probation Violation Population","2020",2048
"Indiana","Probation New Offense Violation Population","2020",632
"Indiana","Probation Technical Violation Population","2020",1416
"Indiana","Parole Violation Population","2020",3131
"Indiana","Parole New Offense Violation Population","2020",1908
"Indiana","Parole Technical Violation Population","2020",1223
"Indiana","Total Admissions","2021",8407
"Indiana","Supervision Violation Admissions","2021",4004
"Indiana","Probation Violation Admissions","2021",1223
"Indiana","Probation New Offense Violation Admissions","2021",247
"Indiana","Probation Technical Violation Admissions","2021",976
"Indiana","Parole Violation Admissions","2021",2781
"Indiana","Parole New Offense Violation Admissions","2021",924
"Indiana","Parole Technical Violation Admissions","2021",1857
"Indiana","Total Population","2021",25377
"Indiana","Supervision Violation Population","2021",5112
"Indiana","Probation Violation Population","2021",2024
"Indiana","Probation New Offense Violation Population","2021",607
"Indiana","Probation Technical Violation Population","2021",1417
"Indiana","Parole Violation Population","2021",3088
"Indiana","Parole New Offense Violation Population","2021",1906
"Indiana","Parole Technical Violation Population","2021",1182
"Iowa","Total Admissions","2018",6227
"Iowa","Supervision Violation Admissions","2018",3083
"Iowa","Probation Violation Admissions","2018",1951
"Iowa","Probation New Offense Violation Admissions","2018",1526
"Iowa","Probation Technical Violation Admissions","2018",425
"Iowa","Parole Violation Admissions","2018",1132
"Iowa","Parole New Offense Violation Admissions","2018",789
"Iowa","Parole Technical Violation Admissions","2018",343
"Iowa","Total Population","2018",8363
"Iowa","Supervision Violation Population","2018",2675
"Iowa","Probation Violation Population","2018",1790
"Iowa","Probation New Offense Violation Population","2018",935
"Iowa","Probation Technical Violation Population","2018",NA
"Iowa","Parole Violation Population","2018",885
"Iowa","Parole New Offense Violation Population","2018",574
"Iowa","Parole Technical Violation Population","2018",311
"Iowa","Total Admissions","2019",6287
"Iowa","Supervision Violation Admissions","2019",3135
"Iowa","Probation Violation Admissions","2019",1881
"Iowa","Probation New Offense Violation Admissions","2019",1454
"Iowa","Probation Technical Violation Admissions","2019",427
"Iowa","Parole Violation Admissions","2019",1254
"Iowa","Parole New Offense Violation Admissions","2019",829
"Iowa","Parole Technical Violation Admissions","2019",425
"Iowa","Total Population","2019",8431
"Iowa","Supervision Violation Population","2019",2682
"Iowa","Probation Violation Population","2019",1768
"Iowa","Probation New Offense Violation Population","2019",920
"Iowa","Probation Technical Violation Population","2019",NA
"Iowa","Parole Violation Population","2019",914
"Iowa","Parole New Offense Violation Population","2019",570
"Iowa","Parole Technical Violation Population","2019",344
"Iowa","Total Admissions","2020",3931
"Iowa","Supervision Violation Admissions","2020",2105
"Iowa","Probation Violation Admissions","2020",1238
"Iowa","Probation New Offense Violation Admissions","2020",1010
"Iowa","Probation Technical Violation Admissions","2020",228
"Iowa","Parole Violation Admissions","2020",867
"Iowa","Parole New Offense Violation Admissions","2020",668
"Iowa","Parole Technical Violation Admissions","2020",199
"Iowa","Total Population","2020",7528
"Iowa","Supervision Violation Population","2020",2307
"Iowa","Probation Violation Population","2020",1477
"Iowa","Probation New Offense Violation Population","2020",1477
"Iowa","Probation Technical Violation Population","2020",NA
"Iowa","Parole Violation Population","2020",830
"Iowa","Parole New Offense Violation Population","2020",37
"Iowa","Parole Technical Violation Population","2020",793
"Iowa","Total Admissions","2021",3891
"Iowa","Supervision Violation Admissions","2021",2005
"Iowa","Probation Violation Admissions","2021",1251
"Iowa","Probation New Offense Violation Admissions","2021",1053
"Iowa","Probation Technical Violation Admissions","2021",198
"Iowa","Parole Violation Admissions","2021",754
"Iowa","Parole New Offense Violation Admissions","2021",620
"Iowa","Parole Technical Violation Admissions","2021",134
"Iowa","Total Population","2021",8169
"Iowa","Supervision Violation Population","2021",2667
"Iowa","Probation Violation Population","2021",1698
"Iowa","Probation New Offense Violation Population","2021",1698
"Iowa","Probation Technical Violation Population","2021",NA
"Iowa","Parole Violation Population","2021",969
"Iowa","Parole New Offense Violation Population","2021",30
"Iowa","Parole Technical Violation Population","2021",939
"Kansas","Total Admissions","2018",6492
"Kansas","Supervision Violation Admissions","2018",4492
"Kansas","Probation Violation Admissions","2018",3097
"Kansas","Probation New Offense Violation Admissions","2018",431
"Kansas","Probation Technical Violation Admissions","2018",2666
"Kansas","Parole Violation Admissions","2018",1395
"Kansas","Parole New Offense Violation Admissions","2018",221
"Kansas","Parole Technical Violation Admissions","2018",1174
"Kansas","Total Population","2018",10286
"Kansas","Supervision Violation Population","2018",3423
"Kansas","Probation Violation Population","2018",2178
"Kansas","Probation New Offense Violation Population","2018",886
"Kansas","Probation Technical Violation Population","2018",1292
"Kansas","Parole Violation Population","2018",1245
"Kansas","Parole New Offense Violation Population","2018",723
"Kansas","Parole Technical Violation Population","2018",522
"Kansas","Total Admissions","2019",5871
"Kansas","Supervision Violation Admissions","2019",3851
"Kansas","Probation Violation Admissions","2019",2602
"Kansas","Probation New Offense Violation Admissions","2019",412
"Kansas","Probation Technical Violation Admissions","2019",2190
"Kansas","Parole Violation Admissions","2019",1249
"Kansas","Parole New Offense Violation Admissions","2019",215
"Kansas","Parole Technical Violation Admissions","2019",1034
"Kansas","Total Population","2019",10258
"Kansas","Supervision Violation Population","2019",3329
"Kansas","Probation Violation Population","2019",2137
"Kansas","Probation New Offense Violation Population","2019",910
"Kansas","Probation Technical Violation Population","2019",1227
"Kansas","Parole Violation Population","2019",1192
"Kansas","Parole New Offense Violation Population","2019",720
"Kansas","Parole Technical Violation Population","2019",472
"Kansas","Total Admissions","2020",3274
"Kansas","Supervision Violation Admissions","2020",2049
"Kansas","Probation Violation Admissions","2020",1485
"Kansas","Probation New Offense Violation Admissions","2020",263
"Kansas","Probation Technical Violation Admissions","2020",1222
"Kansas","Parole Violation Admissions","2020",564
"Kansas","Parole New Offense Violation Admissions","2020",118
"Kansas","Parole Technical Violation Admissions","2020",446
"Kansas","Total Population","2020",8869
"Kansas","Supervision Violation Population","2020",2661
"Kansas","Probation Violation Population","2020",1807
"Kansas","Probation New Offense Violation Population","2020",790
"Kansas","Probation Technical Violation Population","2020",1017
"Kansas","Parole Violation Population","2020",854
"Kansas","Parole New Offense Violation Population","2020",608
"Kansas","Parole Technical Violation Population","2020",246
"Kansas","Total Admissions","2021",3716
"Kansas","Supervision Violation Admissions","2021",2186
"Kansas","Probation Violation Admissions","2021",1517
"Kansas","Probation New Offense Violation Admissions","2021",289
"Kansas","Probation Technical Violation Admissions","2021",1228
"Kansas","Parole Violation Admissions","2021",669
"Kansas","Parole New Offense Violation Admissions","2021",124
"Kansas","Parole Technical Violation Admissions","2021",545
"Kansas","Total Population","2021",8577
"Kansas","Supervision Violation Population","2021",2561
"Kansas","Probation Violation Population","2021",1714
"Kansas","Probation New Offense Violation Population","2021",762
"Kansas","Probation Technical Violation Population","2021",952
"Kansas","Parole Violation Population","2021",847
"Kansas","Parole New Offense Violation Population","2021",526
"Kansas","Parole Technical Violation Population","2021",321
"Kentucky","Total Admissions","2018",20366
"Kentucky","Supervision Violation Admissions","2018",11848
"Kentucky","Probation Violation Admissions","2018",5368
"Kentucky","Probation New Offense Violation Admissions","2018",NA
"Kentucky","Probation Technical Violation Admissions","2018",5368
"Kentucky","Parole Violation Admissions","2018",6480
"Kentucky","Parole New Offense Violation Admissions","2018",198
"Kentucky","Parole Technical Violation Admissions","2018",6282
"Kentucky","Total Population","2018",23657
"Kentucky","Supervision Violation Population","2018",NA
"Kentucky","Probation Violation Population","2018",NA
"Kentucky","Probation New Offense Violation Population","2018",NA
"Kentucky","Probation Technical Violation Population","2018",NA
"Kentucky","Parole Violation Population","2018",NA
"Kentucky","Parole New Offense Violation Population","2018",NA
"Kentucky","Parole Technical Violation Population","2018",NA
"Kentucky","Total Admissions","2019",19693
"Kentucky","Supervision Violation Admissions","2019",11705
"Kentucky","Probation Violation Admissions","2019",5545
"Kentucky","Probation New Offense Violation Admissions","2019",NA
"Kentucky","Probation Technical Violation Admissions","2019",5545
"Kentucky","Parole Violation Admissions","2019",6160
"Kentucky","Parole New Offense Violation Admissions","2019",193
"Kentucky","Parole Technical Violation Admissions","2019",5967
"Kentucky","Total Population","2019",23142
"Kentucky","Supervision Violation Population","2019",NA
"Kentucky","Probation Violation Population","2019",NA
"Kentucky","Probation New Offense Violation Population","2019",NA
"Kentucky","Probation Technical Violation Population","2019",NA
"Kentucky","Parole Violation Population","2019",NA
"Kentucky","Parole New Offense Violation Population","2019",NA
"Kentucky","Parole Technical Violation Population","2019",NA
"Kentucky","Total Admissions","2020",12578
"Kentucky","Supervision Violation Admissions","2020",7840
"Kentucky","Probation Violation Admissions","2020",3751
"Kentucky","Probation New Offense Violation Admissions","2020",NA
"Kentucky","Probation Technical Violation Admissions","2020",3751
"Kentucky","Parole Violation Admissions","2020",4089
"Kentucky","Parole New Offense Violation Admissions","2020",167
"Kentucky","Parole Technical Violation Admissions","2020",3922
"Kentucky","Total Population","2020",18570
"Kentucky","Supervision Violation Population","2020",NA
"Kentucky","Probation Violation Population","2020",NA
"Kentucky","Probation New Offense Violation Population","2020",NA
"Kentucky","Probation Technical Violation Population","2020",NA
"Kentucky","Parole Violation Population","2020",NA
"Kentucky","Parole New Offense Violation Population","2020",NA
"Kentucky","Parole Technical Violation Population","2020",NA
"Kentucky","Total Admissions","2021",13578
"Kentucky","Supervision Violation Admissions","2021",8107
"Kentucky","Probation Violation Admissions","2021",4077
"Kentucky","Probation New Offense Violation Admissions","2021",NA
"Kentucky","Probation Technical Violation Admissions","2021",4077
"Kentucky","Parole Violation Admissions","2021",4030
"Kentucky","Parole New Offense Violation Admissions","2021",102
"Kentucky","Parole Technical Violation Admissions","2021",3928
"Kentucky","Total Population","2021",18621
"Kentucky","Supervision Violation Population","2021",NA
"Kentucky","Probation Violation Population","2021",NA
"Kentucky","Probation New Offense Violation Population","2021",NA
"Kentucky","Probation Technical Violation Population","2021",NA
"Kentucky","Parole Violation Population","2021",NA
"Kentucky","Parole New Offense Violation Population","2021",NA
"Kentucky","Parole Technical Violation Population","2021",NA
"Louisiana","Total Admissions","2018",16005
"Louisiana","Supervision Violation Admissions","2018",7953
"Louisiana","Probation Violation Admissions","2018",3178
"Louisiana","Probation New Offense Violation Admissions","2018",706
"Louisiana","Probation Technical Violation Admissions","2018",2472
"Louisiana","Parole Violation Admissions","2018",4775
"Louisiana","Parole New Offense Violation Admissions","2018",3995
"Louisiana","Parole Technical Violation Admissions","2018",780
"Louisiana","Total Population","2018",32488
"Louisiana","Supervision Violation Population","2018",9744
"Louisiana","Probation Violation Population","2018",3654
"Louisiana","Probation New Offense Violation Population","2018",1037
"Louisiana","Probation Technical Violation Population","2018",2617
"Louisiana","Parole Violation Population","2018",6090
"Louisiana","Parole New Offense Violation Population","2018",5302
"Louisiana","Parole Technical Violation Population","2018",788
"Louisiana","Total Admissions","2019",16226
"Louisiana","Supervision Violation Admissions","2019",8146
"Louisiana","Probation Violation Admissions","2019",3473
"Louisiana","Probation New Offense Violation Admissions","2019",847
"Louisiana","Probation Technical Violation Admissions","2019",2626
"Louisiana","Parole Violation Admissions","2019",4673
"Louisiana","Parole New Offense Violation Admissions","2019",3852
"Louisiana","Parole Technical Violation Admissions","2019",821
"Louisiana","Total Population","2019",31519
"Louisiana","Supervision Violation Population","2019",9426
"Louisiana","Probation Violation Population","2019",3497
"Louisiana","Probation New Offense Violation Population","2019",1093
"Louisiana","Probation Technical Violation Population","2019",2404
"Louisiana","Parole Violation Population","2019",5929
"Louisiana","Parole New Offense Violation Population","2019",5109
"Louisiana","Parole Technical Violation Population","2019",820
"Louisiana","Total Admissions","2020",9640
"Louisiana","Supervision Violation Admissions","2020",4954
"Louisiana","Probation Violation Admissions","2020",1841
"Louisiana","Probation New Offense Violation Admissions","2020",439
"Louisiana","Probation Technical Violation Admissions","2020",1402
"Louisiana","Parole Violation Admissions","2020",3113
"Louisiana","Parole New Offense Violation Admissions","2020",2592
"Louisiana","Parole Technical Violation Admissions","2020",521
"Louisiana","Total Population","2020",27010
"Louisiana","Supervision Violation Population","2020",7754
"Louisiana","Probation Violation Population","2020",2691
"Louisiana","Probation New Offense Violation Population","2020",844
"Louisiana","Probation Technical Violation Population","2020",1847
"Louisiana","Parole Violation Population","2020",5063
"Louisiana","Parole New Offense Violation Population","2020",4284
"Louisiana","Parole Technical Violation Population","2020",779
"Louisiana","Total Admissions","2021",12194
"Louisiana","Supervision Violation Admissions","2021",5788
"Louisiana","Probation Violation Admissions","2021",2341
"Louisiana","Probation New Offense Violation Admissions","2021",634
"Louisiana","Probation Technical Violation Admissions","2021",1707
"Louisiana","Parole Violation Admissions","2021",3447
"Louisiana","Parole New Offense Violation Admissions","2021",2888
"Louisiana","Parole Technical Violation Admissions","2021",559
"Louisiana","Total Population","2021",26377
"Louisiana","Supervision Violation Population","2021",7635
"Louisiana","Probation Violation Population","2021",2618
"Louisiana","Probation New Offense Violation Population","2021",844
"Louisiana","Probation Technical Violation Population","2021",1774
"Louisiana","Parole Violation Population","2021",5017
"Louisiana","Parole New Offense Violation Population","2021",4379
"Louisiana","Parole Technical Violation Population","2021",638
"Maine","Total Admissions","2018",1301
"Maine","Supervision Violation Admissions","2018",548
"Maine","Probation Violation Admissions","2018",548
"Maine","Probation New Offense Violation Admissions","2018",NA
"Maine","Probation Technical Violation Admissions","2018",182
"Maine","Parole Violation Admissions","2018",NA
"Maine","Parole New Offense Violation Admissions","2018",NA
"Maine","Parole Technical Violation Admissions","2018",NA
"Maine","Total Population","2018",2444
"Maine","Supervision Violation Population","2018",NA
"Maine","Probation Violation Population","2018",NA
"Maine","Probation New Offense Violation Population","2018",NA
"Maine","Probation Technical Violation Population","2018",NA
"Maine","Parole Violation Population","2018",NA
"Maine","Parole New Offense Violation Population","2018",NA
"Maine","Parole Technical Violation Population","2018",NA
"Maine","Total Admissions","2019",1101
"Maine","Supervision Violation Admissions","2019",452
"Maine","Probation Violation Admissions","2019",452
"Maine","Probation New Offense Violation Admissions","2019",NA
"Maine","Probation Technical Violation Admissions","2019",139
"Maine","Parole Violation Admissions","2019",NA
"Maine","Parole New Offense Violation Admissions","2019",NA
"Maine","Parole Technical Violation Admissions","2019",NA
"Maine","Total Population","2019",2276
"Maine","Supervision Violation Population","2019",NA
"Maine","Probation Violation Population","2019",NA
"Maine","Probation New Offense Violation Population","2019",NA
"Maine","Probation Technical Violation Population","2019",NA
"Maine","Parole Violation Population","2019",NA
"Maine","Parole New Offense Violation Population","2019",NA
"Maine","Parole Technical Violation Population","2019",NA
"Maine","Total Admissions","2020",637
"Maine","Supervision Violation Admissions","2020",298
"Maine","Probation Violation Admissions","2020",298
"Maine","Probation New Offense Violation Admissions","2020",NA
"Maine","Probation Technical Violation Admissions","2020",88
"Maine","Parole Violation Admissions","2020",NA
"Maine","Parole New Offense Violation Admissions","2020",NA
"Maine","Parole Technical Violation Admissions","2020",NA
"Maine","Total Population","2020",1903
"Maine","Supervision Violation Population","2020",NA
"Maine","Probation Violation Population","2020",NA
"Maine","Probation New Offense Violation Population","2020",NA
"Maine","Probation Technical Violation Population","2020",NA
"Maine","Parole Violation Population","2020",NA
"Maine","Parole New Offense Violation Population","2020",NA
"Maine","Parole Technical Violation Population","2020",NA
"Maine","Total Admissions","2021",721
"Maine","Supervision Violation Admissions","2021",320
"Maine","Probation Violation Admissions","2021",320
"Maine","Probation New Offense Violation Admissions","2021",NA
"Maine","Probation Technical Violation Admissions","2021",61
"Maine","Parole Violation Admissions","2021",NA
"Maine","Parole New Offense Violation Admissions","2021",NA
"Maine","Parole Technical Violation Admissions","2021",NA
"Maine","Total Population","2021",1624
"Maine","Supervision Violation Population","2021",NA
"Maine","Probation Violation Population","2021",NA
"Maine","Probation New Offense Violation Population","2021",NA
"Maine","Probation Technical Violation Population","2021",NA
"Maine","Parole Violation Population","2021",NA
"Maine","Parole New Offense Violation Population","2021",NA
"Maine","Parole Technical Violation Population","2021",NA
"Maryland","Total Admissions","2018",7761
"Maryland","Supervision Violation Admissions","2018",2169
"Maryland","Probation Violation Admissions","2018",1117
"Maryland","Probation New Offense Violation Admissions","2018",147
"Maryland","Probation Technical Violation Admissions","2018",970
"Maryland","Parole Violation Admissions","2018",1052
"Maryland","Parole New Offense Violation Admissions","2018",148
"Maryland","Parole Technical Violation Admissions","2018",904
"Maryland","Total Population","2018",18998
"Maryland","Supervision Violation Population","2018",1684
"Maryland","Probation Violation Population","2018",874
"Maryland","Probation New Offense Violation Population","2018",NA
"Maryland","Probation Technical Violation Population","2018",NA
"Maryland","Parole Violation Population","2018",810
"Maryland","Parole New Offense Violation Population","2018",NA
"Maryland","Parole Technical Violation Population","2018",NA
"Maryland","Total Admissions","2019",7392
"Maryland","Supervision Violation Admissions","2019",1973
"Maryland","Probation Violation Admissions","2019",1022
"Maryland","Probation New Offense Violation Admissions","2019",172
"Maryland","Probation Technical Violation Admissions","2019",850
"Maryland","Parole Violation Admissions","2019",951
"Maryland","Parole New Offense Violation Admissions","2019",151
"Maryland","Parole Technical Violation Admissions","2019",800
"Maryland","Total Population","2019",18643
"Maryland","Supervision Violation Population","2019",1563
"Maryland","Probation Violation Population","2019",814
"Maryland","Probation New Offense Violation Population","2019",NA
"Maryland","Probation Technical Violation Population","2019",NA
"Maryland","Parole Violation Population","2019",749
"Maryland","Parole New Offense Violation Population","2019",NA
"Maryland","Parole Technical Violation Population","2019",NA
"Maryland","Total Admissions","2020",5152
"Maryland","Supervision Violation Admissions","2020",1344
"Maryland","Probation Violation Admissions","2020",719
"Maryland","Probation New Offense Violation Admissions","2020",97
"Maryland","Probation Technical Violation Admissions","2020",622
"Maryland","Parole Violation Admissions","2020",625
"Maryland","Parole New Offense Violation Admissions","2020",93
"Maryland","Parole Technical Violation Admissions","2020",535
"Maryland","Total Population","2020",17038
"Maryland","Supervision Violation Population","2020",1530
"Maryland","Probation Violation Population","2020",820
"Maryland","Probation New Offense Violation Population","2020",NA
"Maryland","Probation Technical Violation Population","2020",NA
"Maryland","Parole Violation Population","2020",710
"Maryland","Parole New Offense Violation Population","2020",NA
"Maryland","Parole Technical Violation Population","2020",NA
"Maryland","Total Admissions","2021",2811
"Maryland","Supervision Violation Admissions","2021",888
"Maryland","Probation Violation Admissions","2021",512
"Maryland","Probation New Offense Violation Admissions","2021",NA
"Maryland","Probation Technical Violation Admissions","2021",NA
"Maryland","Parole Violation Admissions","2021",376
"Maryland","Parole New Offense Violation Admissions","2021",NA
"Maryland","Parole Technical Violation Admissions","2021",NA
"Maryland","Total Population","2021",14510
"Maryland","Supervision Violation Population","2021",NA
"Maryland","Probation Violation Population","2021",NA
"Maryland","Probation New Offense Violation Population","2021",NA
"Maryland","Probation Technical Violation Population","2021",NA
"Maryland","Parole Violation Population","2021",NA
"Maryland","Parole New Offense Violation Population","2021",NA
"Maryland","Parole Technical Violation Population","2021",NA
"Massachusetts","Total Admissions","2018",2327
"Massachusetts","Supervision Violation Admissions","2018",237
"Massachusetts","Probation Violation Admissions","2018",17
"Massachusetts","Probation New Offense Violation Admissions","2018",NA
"Massachusetts","Probation Technical Violation Admissions","2018",NA
"Massachusetts","Parole Violation Admissions","2018",220
"Massachusetts","Parole New Offense Violation Admissions","2018",46
"Massachusetts","Parole Technical Violation Admissions","2018",174
"Massachusetts","Total Population","2018",8044
"Massachusetts","Supervision Violation Population","2018",209
"Massachusetts","Probation Violation Population","2018",15
"Massachusetts","Probation New Offense Violation Population","2018",NA
"Massachusetts","Probation Technical Violation Population","2018",NA
"Massachusetts","Parole Violation Population","2018",194
"Massachusetts","Parole New Offense Violation Population","2018",80
"Massachusetts","Parole Technical Violation Population","2018",114
"Massachusetts","Total Admissions","2019",2200
"Massachusetts","Supervision Violation Admissions","2019",265
"Massachusetts","Probation Violation Admissions","2019",13
"Massachusetts","Probation New Offense Violation Admissions","2019",NA
"Massachusetts","Probation Technical Violation Admissions","2019",NA
"Massachusetts","Parole Violation Admissions","2019",252
"Massachusetts","Parole New Offense Violation Admissions","2019",34
"Massachusetts","Parole Technical Violation Admissions","2019",218
"Massachusetts","Total Population","2019",7602
"Massachusetts","Supervision Violation Population","2019",209
"Massachusetts","Probation Violation Population","2019",12
"Massachusetts","Probation New Offense Violation Population","2019",NA
"Massachusetts","Probation Technical Violation Population","2019",NA
"Massachusetts","Parole Violation Population","2019",197
"Massachusetts","Parole New Offense Violation Population","2019",82
"Massachusetts","Parole Technical Violation Population","2019",115
"Massachusetts","Total Admissions","2020",956
"Massachusetts","Supervision Violation Admissions","2020",205
"Massachusetts","Probation Violation Admissions","2020",3
"Massachusetts","Probation New Offense Violation Admissions","2020",NA
"Massachusetts","Probation Technical Violation Admissions","2020",NA
"Massachusetts","Parole Violation Admissions","2020",202
"Massachusetts","Parole New Offense Violation Admissions","2020",57
"Massachusetts","Parole Technical Violation Admissions","2020",145
"Massachusetts","Total Population","2020",6282
"Massachusetts","Supervision Violation Population","2020",159
"Massachusetts","Probation Violation Population","2020",9
"Massachusetts","Probation New Offense Violation Population","2020",NA
"Massachusetts","Probation Technical Violation Population","2020",NA
"Massachusetts","Parole Violation Population","2020",150
"Massachusetts","Parole New Offense Violation Population","2020",72
"Massachusetts","Parole Technical Violation Population","2020",78
"Massachusetts","Total Admissions","2021",1172
"Massachusetts","Supervision Violation Admissions","2021",194
"Massachusetts","Probation Violation Admissions","2021",1
"Massachusetts","Probation New Offense Violation Admissions","2021",NA
"Massachusetts","Probation Technical Violation Admissions","2021",NA
"Massachusetts","Parole Violation Admissions","2021",193
"Massachusetts","Parole New Offense Violation Admissions","2021",53
"Massachusetts","Parole Technical Violation Admissions","2021",140
"Massachusetts","Total Population","2021",5631
"Massachusetts","Supervision Violation Population","2021",137
"Massachusetts","Probation Violation Population","2021",8
"Massachusetts","Probation New Offense Violation Population","2021",NA
"Massachusetts","Probation Technical Violation Population","2021",NA
"Massachusetts","Parole Violation Population","2021",129
"Massachusetts","Parole New Offense Violation Population","2021",63
"Massachusetts","Parole Technical Violation Population","2021",66
"Michigan","Total Admissions","2018",9188
"Michigan","Supervision Violation Admissions","2018",4657
"Michigan","Probation Violation Admissions","2018",2072
"Michigan","Probation New Offense Violation Admissions","2018",1011
"Michigan","Probation Technical Violation Admissions","2018",1061
"Michigan","Parole Violation Admissions","2018",2585
"Michigan","Parole New Offense Violation Admissions","2018",989
"Michigan","Parole Technical Violation Admissions","2018",1596
"Michigan","Total Population","2018",38761
"Michigan","Supervision Violation Population","2018",1512
"Michigan","Probation Violation Population","2018",NA
"Michigan","Probation New Offense Violation Population","2018",NA
"Michigan","Probation Technical Violation Population","2018",NA
"Michigan","Parole Violation Population","2018",1512
"Michigan","Parole New Offense Violation Population","2018",NA
"Michigan","Parole Technical Violation Population","2018",1512
"Michigan","Total Admissions","2019",8686
"Michigan","Supervision Violation Admissions","2019",4344
"Michigan","Probation Violation Admissions","2019",1933
"Michigan","Probation New Offense Violation Admissions","2019",936
"Michigan","Probation Technical Violation Admissions","2019",997
"Michigan","Parole Violation Admissions","2019",2411
"Michigan","Parole New Offense Violation Admissions","2019",865
"Michigan","Parole Technical Violation Admissions","2019",1546
"Michigan","Total Population","2019",38053
"Michigan","Supervision Violation Population","2019",1549
"Michigan","Probation Violation Population","2019",NA
"Michigan","Probation New Offense Violation Population","2019",NA
"Michigan","Probation Technical Violation Population","2019",NA
"Michigan","Parole Violation Population","2019",1549
"Michigan","Parole New Offense Violation Population","2019",NA
"Michigan","Parole Technical Violation Population","2019",1549
"Michigan","Total Admissions","2020",4976
"Michigan","Supervision Violation Admissions","2020",2663
"Michigan","Probation Violation Admissions","2020",1042
"Michigan","Probation New Offense Violation Admissions","2020",513
"Michigan","Probation Technical Violation Admissions","2020",529
"Michigan","Parole Violation Admissions","2020",1621
"Michigan","Parole New Offense Violation Admissions","2020",512
"Michigan","Parole Technical Violation Admissions","2020",1109
"Michigan","Total Population","2020",33617
"Michigan","Supervision Violation Population","2020",1144
"Michigan","Probation Violation Population","2020",NA
"Michigan","Probation New Offense Violation Population","2020",NA
"Michigan","Probation Technical Violation Population","2020",NA
"Michigan","Parole Violation Population","2020",1144
"Michigan","Parole New Offense Violation Population","2020",NA
"Michigan","Parole Technical Violation Population","2020",1144
"Michigan","Total Admissions","2021",5530
"Michigan","Supervision Violation Admissions","2021",2813
